text,lexical_density,tree_depth
"Once, long... place far.",0.0,1
"Girl, kind, pretty... Cinderella, name.",0.0,2
"Bad stepmother, sisters... two, not nice.",0.0,2
"Work, lots, Cinderella does.",0.0,1
"Clothes, old... not fair.",0.0,2
"Big dance, kingdom...",0.0,1
"Prince, find wife.",0.0,1
"Sisters go, Cinderella?",0.0,1
No.,0.0,1
"Sad, very.",0.0,1
"Then, magic woman...",0.0,1
Godmother?,0.0,1
"Dress, shoes, glass... nice, all new.",9.090909090909092,4
"Pumpkin, not pumpkin... carriage!",0.0,3
"Mice, horses.",0.0,1
Midnight!,0.0,1
"she says, Go back.",16.666666666666664,2
"Dance, Prince, Cinderella... happy.",0.0,2
"Clock, twelve, run!",0.0,1
"Shoe, glass, left.",0.0,2
"Next day, Prince looks.",0.0,2
Shoe fits?,0.0,1
No... no... no.,0.0,2
"Cinderellas house, sisters try, no fit.",11.11111111111111,2
Cinderella?,0.0,1
Yes!,0.0,1
Shoe fits!,0.0,1
"Happy, very.",0.0,1
"Cinderella, Prince... marry.",0.0,2
